date,JavaScript,Java,Python,C++,C#,PHP,Swift,Go,Kotlin,Ruby
01-11-2021,42,34,68,91,48,44,41,24,52,34
01-12-2021,43,34,64,85,44,42,28,24,55,34
01-01-2022,56,40,80,86,54,53,28,25,74,36
01-02-2022,62,45,92,100,61,64,46,25,87,36
01-03-2022,68,47,96,98,68,56,29,24,95,41
01-04-2022,69,45,100,96,62,51,30,26,100,39
01-05-2022,66,44,91,96,57,47,28,24,93,37
01-06-2022,72,42,89,94,59,48,26,25,96,37
01-07-2022,62,42,86,93,54,45,28,25,92,36
01-08-2022,62,40,83,89,53,42,30,26,90,37
01-09-2022,64,45,97,98,56,45,30,24,94,35
01-10-2022,61,40,92,90,56,42,42,23,91,34
01-11-2022,62,43,99,96,54,42,52,23,94,35
01-12-2022,58,39,88,92,50,41,32,23,91,35
01-01-2023,59,38,92,88,54,41,32,23,88,35
01-02-2023,64,41,97,96,57,43,33,25,96,40
01-03-2023,60,40,91,91,56,41,40,23,97,37
01-04-2023,54,36,84,86,47,40,49,22,82,36
01-05-2023,52,35,80,90,45,39,54,22,85,35
01-06-2023,51,36,80,89,47,42,65,22,81,36
01-07-2023,50,36,76,87,46,41,69,24,86,45
01-08-2023,51,35,78,92,47,41,65,25,87,38
01-09-2023,48,36,82,90,49,38,73,24,87,46
01-10-2023,46,37,85,94,48,37,76,23,83,39
01-11-2023,45,33,78,97,45,40,76,22,83,35
01-12-2023,41,32,74,90,41,37,64,22,75,40
01-01-2024,42,33,79,92,46,39,64,24,80,36
01-02-2024,49,38,89,94,52,42,100,25,93,44
01-03-2024,46,37,85,90,49,41,61,25,90,48
01-04-2024,43,34,83,88,44,40,71,24,86,38
01-05-2024,43,34,83,89,44,39,61,24,87,39
01-06-2024,42,33,76,89,41,38,60,24,82,40
01-07-2024,42,34,75,91,41,36,55,25,88,39
01-08-2024,38,33,73,91,38,37,58,25,80,37
01-09-2024,38,32,75,97,39,37,50,24,76,36
01-10-2024,35,32,78,96,39,36,45,24,78,34
01-11-2024,33,30,75,95,36,38,48,27,73,34
01-12-2024,30,28,67,95,34,38,45,24,67,38
01-01-2025,32,28,69,98,32,37,37,25,65,37
